Date,Open,High,Low,Close,Adj Close,Volume
1966/8/4,2.045268,2.102881,2.045268,2.065844,0.605833,1530800
1966/8/5,2.065844,2.090535,2.028807,2.065844,0.605833,713000
1966/8/8,2.065844,2.074074,2.016461,2.057613,0.603419,646400
1966/8/9,2.057613,2.078189,2.016461,2.016461,0.59135,622200
1966/8/10,2.004115,2.004115,1.962963,1.987654,0.582903,919800
1966/8/11,1.987654,2,1.975309,1.983539,0.581697,649800
1966/8/12,1.983539,2.024691,1.962963,1.987654,0.582903,1059600
1966/8/15,1.987654,2.041152,1.979424,2.037037,0.597385,661800
1966/8/16,2.037037,2.053498,1.99177,2.032922,0.596178,1002000
1966/8/17,2.032922,2.065844,2.012346,2.049383,0.601006,588800
1966/8/18,2.049383,2.065844,2.00823,2.024691,0.593765,570800
1966/8/19,2.024691,2.053498,1.995885,2.012346,0.590144,919800
1966/8/22,2.012346,2.028807,1.942387,1.946502,0.570835,801800
1966/8/23,1.946502,1.987654,1.893004,1.901235,0.55756,1266200
1966/8/24,1.901235,1.975309,1.897119,1.909465,0.559973,628200
1966/8/25,1.909465,1.942387,1.868313,1.872428,0.549112,716600
1966/8/26,1.843621,1.843621,1.662551,1.662551,0.487563,1891800
1966/8/29,1.662551,1.736626,1.641975,1.646091,0.485621,2703000
1966/8/30,1.650206,1.761317,1.650206,1.72428,0.508688,2229200
1966/8/31,1.753086,1.81893,1.753086,1.777778,0.524471,1709400
1966/9/1,1.777778,1.82716,1.773663,1.798354,0.530541,877400
1966/9/2,1.798354,1.8107,1.744856,1.769547,0.522043,889400
1966/9/6,1.790123,1.855967,1.790123,1.790123,0.528113,1129800
1966/9/7,1.790123,1.794239,1.753086,1.753086,0.517187,810200
1966/9/8,1.753086,1.761317,1.683128,1.740741,0.513544,1506600
1966/9/9,1.740741,1.761317,1.716049,1.748971,0.515973,777600
1966/9/12,1.753086,1.82716,1.753086,1.82716,0.53904,1284200
1966/9/13,1.847737,1.909465,1.847737,1.884774,0.556037,1336400
1966/9/14,1.884774,1.925926,1.860082,1.925926,0.568177,1202600
1966/9/15,1.934156,2.016461,1.934156,1.99177,0.587602,1630800
1966/9/16,1.99177,1.995885,1.958848,1.987654,0.586388,688800
1966/9/19,1.987654,1.987654,1.942387,1.971193,0.581531,783200
1966/9/20,1.971193,1.987654,1.958848,1.967078,0.580318,610200
1966/9/21,1.868313,1.962963,1.860082,1.860082,0.548752,868400
1966/9/22,1.860082,1.925926,1.814815,1.864197,0.549966,1144800
1966/9/23,1.864197,1.897119,1.847737,1.876543,0.553608,364400
1966/9/26,1.876543,1.90535,1.868313,1.897119,0.559679,567200
1966/9/27,1.91358,1.967078,1.91358,1.91358,0.564535,895400
1966/9/28,1.909465,1.909465,1.831276,1.847737,0.54511,901800
1966/9/29,1.847737,1.847737,1.748971,1.753086,0.517187,1263600
1966/9/30,1.753086,1.757202,1.63786,1.679012,0.495334,3523400
1966/10/3,1.679012,1.744856,1.580247,1.584362,0.467411,2712000
1966/10/4,1.584362,1.650206,1.584362,1.621399,0.478337,2450600
1966/10/5,1.621399,1.63786,1.596708,1.596708,0.471053,1242000
1966/10/6,1.596708,1.596708,1.473251,1.493827,0.440701,2472200
1966/10/7,1.506173,1.572016,1.506173,1.555556,0.458912,1898000
1966/10/10,1.555556,1.646091,1.493827,1.646091,0.485621,1889000
1966/10/11,1.646091,1.695473,1.63786,1.646091,0.485621,1998200
1966/10/12,1.646091,1.744856,1.600823,1.73251,0.511117,1202600
1966/10/13,1.73251,1.753086,1.63786,1.654321,0.488049,1472600
1966/10/14,1.654321,1.707819,1.646091,1.646091,0.485621,579600
1966/10/17,1.646091,1.711934,1.613169,1.63786,0.483193,907400
1966/10/18,1.63786,1.641975,1.588477,1.621399,0.478337,1387800
1966/10/19,1.604938,1.604938,1.522634,1.54321,0.45527,1448400
1966/10/20,1.534979,1.534979,1.44856,1.460905,0.430989,9522000
1966/10/21,1.469136,1.547325,1.469136,1.547325,0.456484,1931600
1966/10/24,1.547325,1.547325,1.465021,1.485597,0.438274,1439400
1966/10/25,1.485597,1.54321,1.469136,1.54321,0.45527,1387800
1966/10/26,1.54321,1.604938,1.530864,1.604938,0.473481,2430000
1966/10/27,1.604938,1.62963,1.592593,1.609053,0.474695,1081200
1966/10/28,1.609053,1.63786,1.588477,1.604938,0.473481,637400
1966/10/31,1.604938,1.617284,1.584362,1.596708,0.471053,710400
1966/11/1,1.625514,1.691358,1.625514,1.687243,0.497762,2068200
1966/11/2,1.748971,1.806584,1.748971,1.761317,0.519615,1910000
1966/11/3,1.761317,1.761317,1.716049,1.761317,0.519615,919800
1966/11/4,1.761317,1.880658,1.728395,1.880658,0.557952,2116800
1966/11/7,1.880658,1.917696,1.855967,1.872428,0.555511,1488000
1966/11/9,1.876543,1.934156,1.876543,1.917696,0.56894,1478600
